Trial,Depth,Density,Cohesion,Sediment_Strength,Fault_Dip,Fault_Seed,Conversion_Factor,Slip,VD_HW,HD_HW,Scarp_Height,Us - Ud,Us_x,Us_y,DZW,DZW xmin,DZW xmin_y,DZW xmax,DZW xmax_y,DZW xmax_y0,Scarp_Dip,Fit_Scarp_Dip,Usx - DZWxmin,Usy - DZWxminy,Scarp_Class
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.0207,0.0531,-0.083,-0.228,0.145,10.226,51.771,15.173,50.756,1.014,-0.021,51.771,15.173,NA,90.0,NA,NA,NA,Pressure Ridge Collapse
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02088,0.1063,-0.084,-0.23,0.23,10.294,52.221,15.305,16.307,1.817,15.117,18.124,15.117,NA,179.614,NA,NA,NA,Pressure Ridge Collapse
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.155,-0.061,-0.164,0.082,10.143,23.538,15.051,-1.022,1.002,-0.02,-0.02,15.092,NA,179.801,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.2037,-0.041,-0.102,0.123,10.164,23.518,15.092,-1.022,1.002,-0.02,-0.02,15.113,NA,179.701,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.2569,-0.02,-0.061,0.164,10.184,23.518,15.133,7.198,23.518,15.133,30.716,15.01,NA,1.302,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.3056,0.0,0.0,0.204,10.205,23.477,15.174,10.879,21.8,15.072,32.679,15.01,NA,1.273,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.3543,0.0,0.0,0.245,10.225,25.787,15.215,12.945,21.657,15.092,34.601,15.01,NA,1.595,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.403,0.02,0.061,0.184,10.143,33.783,15.153,15.092,20.164,15.113,35.256,15.01,NA,7.125,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.4562,0.041,0.102,0.266,10.205,31.329,15.235,15.971,19.796,15.133,35.767,15.01,NA,3.428,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.5049,0.061,0.164,0.266,10.205,32.066,15.235,18.466,17.751,15.153,36.217,15.01,NA,3.664,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.5536,0.082,0.225,0.327,10.245,31.329,15.297,19.693,16.749,15.153,36.442,15.01,NA,3.662,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.6067,0.102,0.286,0.368,10.266,31.288,15.338,20.614,15.869,15.174,36.483,15.01,NA,4.054,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.6554,0.123,0.327,0.409,10.286,31.288,15.378,21.125,15.501,15.194,36.626,15.01,NA,4.382,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.7042,0.123,0.327,0.429,10.286,31.268,15.399,21.452,15.153,15.215,36.606,15.01,NA,4.6,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.7573,0.143,0.389,0.47,10.307,31.248,15.44,22.761,13.886,15.235,36.646,15.01,NA,4.979,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.806,0.164,0.45,0.491,10.307,31.248,15.46,24.826,11.677,15.256,36.503,15.01,NA,5.335,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.8547,0.184,0.511,0.552,10.368,29.141,15.522,26.053,10.511,15.256,36.565,15.01,NA,4.254,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.9079,0.204,0.552,0.552,10.348,31.207,15.522,26.094,10.532,15.276,36.626,15.01,NA,5.818,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,0.9566,0.225,0.613,0.593,10.368,31.207,15.562,26.217,10.409,15.297,36.626,15.01,NA,6.245,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,1.0053,0.245,0.675,0.654,10.409,29.121,15.624,26.38,10.307,15.317,36.687,15.01,NA,4.943,NA,NA,NA,Pressure Ridge
D10_coh1.0e+05_ten1.0e+05_dip20_FS0.25,10,Dense,1.0E+05,Weak,20,0.25,0.02045,1.0585,0.266,0.736,0.695,10.43,29.121,15.665,26.156,10.409,15.338,36.565,15.01,NA,5.336,NA,NA,NA,Pressure Ridge
